time;inertia.phi;springDamper.tau
2.22600000000000E+01;2.61795611669900E-01;-3.30913383347999E-05
2.23200000000000E+01;2.61795948447936E-01;-2.78902550256392E-05
2.23800000000000E+01;2.61796385419575E-01;-2.20205654539731E-05
2.24400000000000E+01;2.61796901526675E-01;-1.57256868630449E-05
2.25000000000000E+01;2.61797474181006E-01;-9.24966930496157E-06
2.25600000000000E+01;2.61798080140237E-01;-2.82865724557310E-06
2.26200000000000E+01;2.61798696355693E-01;3.31687608330267E-06
2.26800000000000E+01;2.61799300763974E-01;8.98889608342878E-06
2.27400000000000E+01;2.61799872998149E-01;1.40173983447981E-05
2.28000000000000E+01;2.61800394998427E-01;1.82646980610787E-05
2.28600000000000E+01;2.61800851506884E-01;2.16283437299936E-05
2.29200000000000E+01;2.61801230435769E-01;2.40426337824719E-05
2.29800000000000E+01;2.61801523103929E-01;2.54787646682398E-05
2.30400000000000E+01;2.61801724340785E-01;2.59436849781200E-05
2.31000000000000E+01;2.61801832461965E-01;2.54777708676704E-05
2.31600000000000E+01;2.61801849124913E-01;2.41514724372769E-05
2.32200000000000E+01;2.61801779076494E-01;2.20611078193417E-05
2.32800000000000E+01;2.61801629807683E-01;1.93240011385385E-05
2.33400000000000E+01;2.61801411132772E-01;1.60731719293504E-05
2.34000000000000E+01;2.61801134712161E-01;1.24517871399484E-05
2.34600000000000E+01;2.61800813538628E-01;8.60758280769167E-06
2.35200000000000E+01;2.61800461407116E-01;4.68745150075817E-06
2.35800000000000E+01;2.61800092387457E-01;8.32374418985396E-07
2.36400000000000E+01;2.61799720318239E-01;-2.82714538473035E-06
2.37000000000000E+01;2.61799358338198E-01;-6.17501876723744E-06
2.37600000000000E+01;2.61799018469300E-01;-9.11277489246289E-06
2.38200000000000E+01;2.61798711263000E-01;-1.15619652353678E-05
2.38800000000000E+01;2.61798445518337E-01;-1.34657300844120E-05
2.39400000000000E+01;2.61798228077493E-01;-1.47895217349652E-05
2.40000000000000E+01;2.61798063701428E-01;-1.55210083238821E-05
2.40600000000000E+01;2.61797955025262E-01;-1.56692093665226E-05
2.41200000000000E+01;2.61797902590303E-01;-1.52629378710194E-05
2.41800000000000E+01;2.61797904947157E-01;-1.43486436874681E-05
2.42400000000000E+01;2.61797958822172E-01;-1.29877680937380E-05
2.43000000000000E+01;2.61798059337734E-01;-1.12537302454060E-05
2.43600000000000E+01;2.61798200275613E-01;-9.22867190863511E-06
2.44200000000000E+01;2.61798374371663E-01;-7.00008795653579E-06
2.44800000000000E+01;2.61798573629793E-01;-4.65746665549594E-06
2.45400000000000E+01;2.61798789643149E-01;-2.28905620963652E-06
2.46000000000000E+01;2.61799013910891E-01;2.11371476611209E-08
2.46600000000000E+01;2.61799238139803E-01;2.19602844271566E-06
